state,state_name,10_year_decrease_avg,10_year_decrease_low,10_year_decrease_high,pct_decrease
AL,Alabama,4159000000,3120000000,5199000000,6%
AK,Alaska,2354000000,1765000000,2942000000,13%
AZ,Arizona,35153000000,26365000000,43942000000,19%
AR,Arkansas,9739000000,7304000000,12173000000,13%
CA,California,164316000000,123237000000,205395000000,19%
CO,Colorado,14169000000,10627000000,17711000000,16%
CT,Connecticut,13034000000,9775000000,16292000000,18%
DE,Delaware,4329000000,3247000000,5411000000,16%
DC,District of Columbia,3919000000,2939000000,4898000000,11%
FL,Florida,18345000000,13759000000,22931000000,7%
GA,Georgia,9984000000,7488000000,12480000000,8%
HI,Hawaii,4367000000,3275000000,5458000000,17%
ID,Idaho,3468000000,2601000000,4335000000,11%
IL,Illinois,48122000000,36092000000,60153000000,20%
IN,Indiana,22555000000,16917000000,28194000000,15%
IA,Iowa,10969000000,8227000000,13712000000,19%
KS,Kansas,4070000000,3053000000,5088000000,11%
KY,Kentucky,25014000000,18761000000,31268000000,17%
LA,Louisiana,28391000000,21293000000,35489000000,21%
ME,Maine,3361000000,2521000000,4202000000,10%
MD,Maryland,15997000000,11998000000,19996000000,14%
MA,Massachusetts,20069000000,15052000000,25086000000,13%
MI,Michigan,33374000000,25031000000,41718000000,18%
MN,Minnesota,23573000000,17679000000,29466000000,18%
MS,Mississippi,4133000000,3099000000,5166000000,8%
MO,Missouri,17074000000,12806000000,21343000000,14%
MT,Montana,3324000000,2493000000,4155000000,16%
NE,Nebraska,3765000000,2824000000,4706000000,13%
NV,Nevada,8660000000,6495000000,10825000000,20%
NH,New Hampshire,2774000000,2080000000,3467000000,18%
NJ,New Jersey,31582000000,23686000000,39477000000,20%
NM,New Mexico,11324000000,8493000000,14155000000,15%
NY,New York,119805000000,89854000000,149757000000,19%
NC,North Carolina,26518000000,19888000000,33147000000,13%
ND,North Dakota,1551000000,1163000000,1938000000,13%
OH,Ohio,37408000000,28056000000,46760000000,14%
OK,Oklahoma,13532000000,10149000000,16915000000,17%
OR,Oregon,22927000000,17195000000,28659000000,19%
PA,Pennsylvania,53106000000,39829000000,66382000000,17%
RI,Rhode Island,4314000000,3235000000,5392000000,16%
SC,South Carolina,5758000000,4318000000,7197000000,8%
SD,South Dakota,1040000000,780000000,1300000000,11%
TN,Tennessee,8578000000,6433000000,10722000000,9%
TX,Texas,38838000000,29128000000,48547000000,10%
UT,Utah,5726000000,4295000000,7158000000,15%
VT,Vermont,2010000000,1507000000,2512000000,13%
VA,Virginia,32774000000,24580000000,40967000000,21%
WA,Washington,40701000000,30526000000,50877000000,19%
WV,West Virginia,6256000000,4692000000,7820000000,13%
WI,Wisconsin,8392000000,6294000000,10490000000,10%
WY,Wyoming,271000000,203000000,338000000,6%